   x	       F(x)		       P(x)		      E(x)
0.20	 2.9800e-01	 2.9800e-01	 5.5511e-17
0.30	 4.4328e-01	 3.9364e-01	 4.9642e-02
0.40	 5.8413e-01	 4.7980e-01	 1.0433e-01
0.50	 7.1914e-01	 5.5677e-01	 1.6237e-01
0.60	 8.4696e-01	 6.2483e-01	 2.2213e-01
0.70	 9.6633e-01	 6.8427e-01	 2.8205e-01
0.80	 1.0760e+00	 7.3538e-01	 3.4065e-01
0.90	 1.1750e+00	 7.7844e-01	 3.9655e-01
1.00	 1.2622e+00	 8.1373e-01	 4.4848e-01
1.10	 1.3368e+00	 8.4154e-01	 4.9527e-01
1.20	 1.3981e+00	 8.6215e-01	 5.3591e-01
1.30	 1.4453e+00	 8.7585e-01	 5.6948e-01
1.40	 1.4782e+00	 8.8293e-01	 5.9524e-01
1.50	 1.4962e+00	 8.8367e-01	 6.1258e-01
1.60	 1.4994e+00	 8.7834e-01	 6.2102e-01
1.70	 1.4875e+00	 8.6725e-01	 6.2025e-01
1.80	 1.4608e+00	 8.5067e-01	 6.1010e-01
1.90	 1.4195e+00	 8.2888e-01	 5.9057e-01
2.00	 1.3639e+00	 8.0218e-01	 5.6176e-01
2.10	 1.2948e+00	 7.7085e-01	 5.2397e-01
2.20	 1.2127e+00	 7.3517e-01	 4.7758e-01
2.30	 1.1186e+00	 6.9542e-01	 4.2314e-01
2.40	 1.0132e+00	 6.5190e-01	 3.6129e-01
2.50	 8.9771e-01	 6.0489e-01	 2.9282e-01
2.60	 7.7325e-01	 5.5466e-01	 2.1859e-01
2.70	 6.4107e-01	 5.0151e-01	 1.3956e-01
2.80	 5.0248e-01	 4.4573e-01	 5.6753e-02
2.90	 3.5887e-01	 3.8759e-01	-2.8716e-02
3.00	 2.1168e-01	 3.2738e-01	-1.1570e-01
3.10	 6.2371e-02	 2.6539e-01	-2.0302e-01
3.20	-8.7561e-02	 2.0190e-01	-2.8946e-01
3.30	-2.3662e-01	 1.3719e-01	-3.7381e-01
3.40	-3.8331e-01	 7.1557e-02	-4.5487e-01
3.50	-5.2617e-01	 5.2776e-03	-5.3145e-01
3.60	-6.6378e-01	-6.1362e-02	-6.0242e-01
3.70	-7.9475e-01	-1.2808e-01	-6.6668e-01
3.80	-9.1779e-01	-1.9458e-01	-7.2321e-01
3.90	-1.0316e+00	-2.6059e-01	-7.7106e-01
4.00	-1.1352e+00	-3.2582e-01	-8.0938e-01
4.10	-1.2274e+00	-3.8999e-01	-8.3743e-01
4.20	-1.3074e+00	-4.5280e-01	-8.5456e-01
4.30	-1.3742e+00	-5.1398e-01	-8.6026e-01
4.40	-1.4274e+00	-5.7325e-01	-8.5416e-01
4.50	-1.4663e+00	-6.3031e-01	-8.3599e-01
4.60	-1.4905e+00	-6.8488e-01	-8.0566e-01
4.70	-1.4999e+00	-7.3667e-01	-7.6321e-01
4.80	-1.4942e+00	-7.8541e-01	-7.0883e-01
4.90	-1.4737e+00	-8.3081e-01	-6.4287e-01
5.00	-1.4384e+00	-8.7257e-01	-5.6581e-01
5.10	-1.3887e+00	-9.1043e-01	-4.7829e-01
5.20	-1.3252e+00	-9.4408e-01	-3.8110e-01
5.30	-1.2484e+00	-9.7326e-01	-2.7514e-01
5.40	-1.1591e+00	-9.9766e-01	-1.6148e-01
5.50	-1.0583e+00	-1.0170e+00	-4.1294e-02
5.60	-9.4690e-01	-1.0310e+00	 8.4133e-02
5.70	-8.2603e-01	-1.0394e+00	 2.1340e-01
5.80	-6.9690e-01	-1.0419e+00	 3.4501e-01
5.90	-5.6081e-01	-1.0382e+00	 4.7739e-01
6.00	-4.1912e-01	-1.0280e+00	 6.0890e-01
6.10	-2.7324e-01	-1.0111e+00	 7.3784e-01
6.20	-1.2463e-01	-9.8710e-01	 8.6246e-01
6.30	 2.5221e-02	-9.5578e-01	 9.8100e-01
6.40	 1.7482e-01	-9.1684e-01	 1.0917e+00
6.50	 3.2268e-01	-8.7000e-01	 1.1927e+00
6.60	 4.6731e-01	-8.1498e-01	 1.2823e+00
6.70	 6.0727e-01	-7.5148e-01	 1.3588e+00
6.80	 7.4117e-01	-6.7923e-01	 1.4204e+00
6.90	 8.6766e-01	-5.9795e-01	 1.4656e+00
7.00	 9.8548e-01	-5.0733e-01	 1.4928e+00
7.10	 1.0935e+00	-4.0711e-01	 1.5006e+00
7.20	 1.1905e+00	-2.9699e-01	 1.4875e+00
7.30	 1.2757e+00	-1.7669e-01	 1.4523e+00
7.40	 1.3481e+00	-4.5923e-02	 1.3940e+00
7.50	 1.4070e+00	 9.5591e-02	 1.3114e+00
7.60	 1.4519e+00	 2.4814e-01	 1.2037e+00
7.70	 1.4823e+00	 4.1201e-01	 1.0702e+00
7.80	 1.4978e+00	 5.8748e-01	 9.1034e-01
7.90	 1.4984e+00	 7.7484e-01	 7.2358e-01
8.00	 1.4840e+00	 9.7437e-01	 5.0967e-01
8.10	 1.4548e+00	 1.1864e+00	 2.6847e-01
8.20	 1.4111e+00	 1.4111e+00	-9.3259e-15
